"county_fips","state","county_name","winner_votes","party","Unemployment_Value","Poverty_Value","Less.than.a.high.school.diploma..2015.19","High.school.diploma.only..2015.19","Some.college.or.associate.s.degree..2015.19","Bachelor.s.degree.or.higher..2015.19"
1001,"ALABAMA","AUTAUGA",19838,"REPUBLICAN",25838,12.1,4291,12551,10596,9929
1003,"ALABAMA","BALDWIN",83544,"REPUBLICAN",96763,10.1,13893,41797,47274,48148
1005,"ALABAMA","BARBOUR",5622,"REPUBLICAN",8587,27.1,4812,6396,4676,2080
1007,"ALABAMA","BIBB",7525,"REPUBLICAN",8640,20.3,3386,7256,3848,1678
1009,"ALABAMA","BLOUNT",24711,"REPUBLICAN",24661,16.3,7763,13299,13519,5210
1011,"ALABAMA","BULLOCK",3446,"DEMOCRAT",4818,30,1798,2860,1587,856
1013,"ALABAMA","BUTLER",5458,"REPUBLICAN",9056,21.6,2066,6244,3279,2230
1015,"ALABAMA","CALHOUN",35101,"REPUBLICAN",46240,17.2,12315,25940,26233,14620
1017,"ALABAMA","CHAMBERS",8753,"REPUBLICAN",15865,19.6,4372,8739,7515,3163
1019,"ALABAMA","CHEROKEE",10583,"REPUBLICAN",11513,15.9,3478,7598,5391,2407
1021,"ALABAMA","CHILTON",16085,"REPUBLICAN",19592,16,5474,13348,7401,3823
1023,"ALABAMA","CHOCTAW",4296,"REPUBLICAN",4621,22.6,1737,3515,2964,1113
1025,"ALABAMA","CLARKE",7324,"REPUBLICAN",7769,18.4,3259,7005,4456,2050
1027,"ALABAMA","CLAY",5601,"REPUBLICAN",6083,16.6,2205,3577,2678,999
1029,"ALABAMA","CLEBURNE",6484,"REPUBLICAN",5737,13.3,2198,3980,2687,1616
1031,"ALABAMA","COFFEE",16899,"REPUBLICAN",21502,15,4967,9615,12667,8044
1033,"ALABAMA","COLBERT",19203,"REPUBLICAN",23558,14.6,5783,14740,11366,7070
1035,"ALABAMA","CONECUH",3442,"REPUBLICAN",4529,22.2,1384,4516,1805,1128
1037,"ALABAMA","COOSA",3631,"REPUBLICAN",4392,17.1,1652,3327,2221,1059
1039,"ALABAMA","COVINGTON",14586,"REPUBLICAN",15172,17.2,4366,9819,8119,4020
1041,"ALABAMA","CRENSHAW",4864,"REPUBLICAN",6253,16.8,2016,3830,2157,1687
1043,"ALABAMA","CULLMAN",36880,"REPUBLICAN",38310,12.2,10648,19668,19406,8004
1045,"ALABAMA","DALE",14303,"REPUBLICAN",20710,18.1,4651,10819,11961,6078
1047,"ALABAMA","DALLAS",12230,"DEMOCRAT",14619,26,4757,9411,8178,3854
1049,"ALABAMA","DEKALB",24767,"REPUBLICAN",30736,18.2,12072,16431,13241,6246
1051,"ALABAMA","ELMORE",30164,"REPUBLICAN",36620,11.4,7503,18232,16298,14060
1053,"ALABAMA","ESCAMBIA",10869,"REPUBLICAN",14453,20.5,4878,11308,6449,3224
1055,"ALABAMA","ETOWAH",35528,"REPUBLICAN",40724,18.8,11127,23668,24422,12815
1057,"ALABAMA","FAYETTE",7300,"REPUBLICAN",6562,17,2037,4831,3387,1451
1059,"ALABAMA","FRANKLIN",10376,"REPUBLICAN",14424,16.1,4739,7601,5539,2907
